"2015/1/1",0
"2015/1/2",0
"2015/1/5",1
"2015/2/16",0
"2015/2/17",0
"2015/2/18",0
"2015/2/19",0
"2015/2/20",0
"2015/2/23",0
"2015/2/27",0
"2015/4/3",0
"2015/4/6",0
"2015/5/1",0
"2015/6/19",0
"2015/7/10",0
"2015/9/28",0
"2015/10/9",0
"2016/1/1",0
"2016/1/30",1
"2016/2/4",0
"2016/2/5",0
"2016/2/8",0
"2016/2/9",0
"2016/2/10",0
"2016/2/11",0
"2016/2/12",0
"2016/2/15",1
"2016/2/29",0
"2016/4/4",0
"2016/4/5",0
"2016/5/2",0
"2016/6/4",1
"2016/6/9",0
"2016/6/10",0
"2016/9/10",1
"2016/9/15",0
"2016/9/16",0
"2016/10/10",0
